filepath,label
/home/code871/Git/fsl-svm/server/FSL-dataset/E/E_33 (2).jpg,E
/home/code871/Git/fsl-svm/server/FSL-dataset/G/1251_jpg.rf.3eb88268c32d1062d47be32661837251.jpg,G
/home/code871/Git/fsl-svm/server/FSL-dataset/C/Image_1667018757.9859748.jpg,C
/home/code871/Git/fsl-svm/server/FSL-dataset/C/C_79.jpg,C
/home/code871/Git/fsl-svm/server/FSL-dataset/G/G_114.jpg,G
/home/code871/Git/fsl-svm/server/FSL-dataset/V/2884_jpg.rf.0769e327403f904e8b0397568c8b7c20.jpg,V
/home/code871/Git/fsl-svm/server/FSL-dataset/Q/Q_31.jpg,Q
/home/code871/Git/fsl-svm/server/FSL-dataset/D/401_jpg.rf.945e23f8775417a5f767c2b97747d306.jpg,D
/home/code871/Git/fsl-svm/server/FSL-dataset/Y/5053.jpg,Y
/home/code871/Git/fsl-svm/server/FSL-dataset/A/A_200.jpg,A
/home/code871/Git/fsl-svm/server/FSL-dataset/C/374.jpg,C
/home/code871/Git/fsl-svm/server/FSL-dataset/Z/Z_149.jpg,Z
/home/code871/Git/fsl-svm/server/FSL-dataset/Y/4238_jpg.rf.17cd0bd82a0d0a227255a40b41fc5c77.jpg,Y
/home/code871/Git/fsl-svm/server/FSL-dataset/O/2414_jpg.rf.790f2f2cf47e47d3f0f5d753f27c8b5d.jpg,O
/home/code871/Git/fsl-svm/server/FSL-dataset/S/S_14.jpg,S
/home/code871/Git/fsl-svm/server/FSL-dataset/W/4787.jpg,W
/home/code871/Git/fsl-svm/server/FSL-dataset/L/L_132.jpg,L
/home/code871/Git/fsl-svm/server/FSL-dataset/O/2453_jpg.rf.4de62ea5443589110bc2baeb4f934589.jpg,O
/home/code871/Git/fsl-svm/server/FSL-dataset/K/1274_jpg.rf.b1636497f1c3c91dfadeb1939991d614.jpg,K
/home/code871/Git/fsl-svm/server/FSL-dataset/P/P_17.jpg,P
/home/code871/Git/fsl-svm/server/FSL-dataset/P/2597_jpg.rf.8bfc01c2edeb39bababcf5288adfa288.jpg,P
/home/code871/Git/fsl-svm/server/FSL-dataset/B/B_17.jpg,B
/home/code871/Git/fsl-svm/server/FSL-dataset/V/V_41 (2).jpg,V
/home/code871/Git/fsl-svm/server/FSL-dataset/H/H179.jpg,H
/home/code871/Git/fsl-svm/server/FSL-dataset/P/P_84.jpg,P
/home/code871/Git/fsl-svm/server/FSL-dataset/P/Image_1667019425.8437698 - Copy.jpg,P
/home/code871/Git/fsl-svm/server/FSL-dataset/O/2403_jpg.rf.eff66183f8c7a8e046faa75d94781290.jpg,O
/home/code871/Git/fsl-svm/server/FSL-dataset/Q/2731_jpg.rf.ed7a848d1fb8dd9dbbbd9845e4df6379.jpg,Q
/home/code871/Git/fsl-svm/server/FSL-dataset/A/33.jpg,A
/home/code871/Git/fsl-svm/server/FSL-dataset/Q/Q_128.jpg,Q
/home/code871/Git/fsl-svm/server/FSL-dataset/Z/Z_44.jpg,Z
/home/code871/Git/fsl-svm/server/FSL-dataset/D/D_136.jpg,D
/home/code871/Git/fsl-svm/server/FSL-dataset/A/A_51.jpg,A
/home/code871/Git/fsl-svm/server/FSL-dataset/J/1124_jpg.rf.565465328d183d2111884592b1a3ba08.jpg,J
/home/code871/Git/fsl-svm/server/FSL-dataset/U/Image_1667034862.6837804.jpg,U
/home/code871/Git/fsl-svm/server/FSL-dataset/L/Image_1667033950.1341443.jpg,L
/home/code871/Git/fsl-svm/server/FSL-dataset/N/N_42 (2).jpg,N
/home/code871/Git/fsl-svm/server/FSL-dataset/M/M_62.jpg,M
/home/code871/Git/fsl-svm/server/FSL-dataset/M/Image_1667019339.9343634.jpg,M
/home/code871/Git/fsl-svm/server/FSL-dataset/J/J_2 (2).jpg,J
/home/code871/Git/fsl-svm/server/FSL-dataset/W/2896_jpg.rf.950cbccfd103a7ada5db72fa38d728e6.jpg,W
/home/code871/Git/fsl-svm/server/FSL-dataset/X/5036.jpg,X
/home/code871/Git/fsl-svm/server/FSL-dataset/S/3375_jpg.rf.df9e06e6c09fd99661d11bb946950713.jpg,S
/home/code871/Git/fsl-svm/server/FSL-dataset/J/1720 (2).jpg,J
/home/code871/Git/fsl-svm/server/FSL-dataset/N/2712.jpg,N
/home/code871/Git/fsl-svm/server/FSL-dataset/V/3820_jpg.rf.760b43b241f5380ad273c00972512f8a.jpg,V
/home/code871/Git/fsl-svm/server/FSL-dataset/B/Image_1667018721.4013531.jpg,B
/home/code871/Git/fsl-svm/server/FSL-dataset/M/1954_jpg.rf.d6e4b95cea2b3e0f3da53e34be66ea78.jpg,M
/home/code871/Git/fsl-svm/server/FSL-dataset/Y/Y_116 (2).jpg,Y
/home/code871/Git/fsl-svm/server/FSL-dataset/I/I_120 (2).jpg,I
/home/code871/Git/fsl-svm/server/FSL-dataset/S/2467_jpg.rf.2c1e88475318d4ff0782125097b6ceb1.jpg,S
/home/code871/Git/fsl-svm/server/FSL-dataset/M/2037_jpg.rf.2857dae5fd0099204919684800735058.jpg,M
/home/code871/Git/fsl-svm/server/FSL-dataset/J/J_113.jpg,J
/home/code871/Git/fsl-svm/server/FSL-dataset/G/Image_1667034650.1838431.jpg,G
/home/code871/Git/fsl-svm/server/FSL-dataset/U/U_68.jpg,U
/home/code871/Git/fsl-svm/server/FSL-dataset/P/3043.jpg,P
/home/code871/Git/fsl-svm/server/FSL-dataset/P/3046.jpg,P
/home/code871/Git/fsl-svm/server/FSL-dataset/F/F_50 (2).jpg,F
/home/code871/Git/fsl-svm/server/FSL-dataset/Y/Image_1667019843.513524.jpg,Y
/home/code871/Git/fsl-svm/server/FSL-dataset/W/W_104.jpg,W
/home/code871/Git/fsl-svm/server/FSL-dataset/R/R_140.jpg,R
/home/code871/Git/fsl-svm/server/FSL-dataset/F/Image_1667018912.0853148.jpg,F
/home/code871/Git/fsl-svm/server/FSL-dataset/W/4689.jpg,W
/home/code871/Git/fsl-svm/server/FSL-dataset/D/Image_1667034384.0534506.jpg,D
/home/code871/Git/fsl-svm/server/FSL-dataset/X/X_27.jpg,X
/home/code871/Git/fsl-svm/server/FSL-dataset/M/1447_jpg.rf.979eea82b0b229a1c5c4cd351204e709.jpg,M
/home/code871/Git/fsl-svm/server/FSL-dataset/Q/2106_jpg.rf.8fade5d630064fc2ef0aa5d4d2ece84b.jpg,Q
/home/code871/Git/fsl-svm/server/FSL-dataset/J/1607.jpg,J
/home/code871/Git/fsl-svm/server/FSL-dataset/S/Image_1667019508.6421628.jpg,S
/home/code871/Git/fsl-svm/server/FSL-dataset/F/931.jpg,F
/home/code871/Git/fsl-svm/server/FSL-dataset/H/Image_1667019012.402759.jpg,H
/home/code871/Git/fsl-svm/server/FSL-dataset/D/D_123 (2).jpg,D
/home/code871/Git/fsl-svm/server/FSL-dataset/D/556_jpg.rf.62f5e438693dbeb3e0c1f55f0d0d8864.jpg,D
/home/code871/Git/fsl-svm/server/FSL-dataset/M/M_87.jpg,M
/home/code871/Git/fsl-svm/server/FSL-dataset/C/Image_1667018760.350865.jpg,C
/home/code871/Git/fsl-svm/server/FSL-dataset/J/1601.jpg,J
/home/code871/Git/fsl-svm/server/FSL-dataset/O/2882.jpg,O
/home/code871/Git/fsl-svm/server/FSL-dataset/H/1138.jpg,H
/home/code871/Git/fsl-svm/server/FSL-dataset/C/C_93.jpg,C
/home/code871/Git/fsl-svm/server/FSL-dataset/F/946.jpg,F
/home/code871/Git/fsl-svm/server/FSL-dataset/V/3798_jpg.rf.b9d8bea5e49841d80adcf76c7deb6d91.jpg,V
/home/code871/Git/fsl-svm/server/FSL-dataset/W/Image_1667019775.9111242.jpg,W
/home/code871/Git/fsl-svm/server/FSL-dataset/J/1613 - Copy.jpg,J
/home/code871/Git/fsl-svm/server/FSL-dataset/G/Image_1667034649.4348433.jpg,G
/home/code871/Git/fsl-svm/server/FSL-dataset/G/1304_jpg.rf.1a12e425981bb6382966a911f78f61c6.jpg,G
/home/code871/Git/fsl-svm/server/FSL-dataset/O/1770_jpg.rf.0969bb0e9c9a3376b60efdefb08879a4.jpg,O
/home/code871/Git/fsl-svm/server/FSL-dataset/N/Image_1667019374.9487293.jpg,N
/home/code871/Git/fsl-svm/server/FSL-dataset/J/J_136 (2).jpg,J
/home/code871/Git/fsl-svm/server/FSL-dataset/Z/5347.jpg,Z
/home/code871/Git/fsl-svm/server/FSL-dataset/Q/Q_138.jpg,Q
/home/code871/Git/fsl-svm/server/FSL-dataset/P/3053.jpg,P
/home/code871/Git/fsl-svm/server/FSL-dataset/M/1514_jpg.rf.bfc557d0fc74ff4f06e0977b9c77f95f.jpg,M
/home/code871/Git/fsl-svm/server/FSL-dataset/B/B_175.jpg,B
/home/code871/Git/fsl-svm/server/FSL-dataset/W/W125.jpg,W
/home/code871/Git/fsl-svm/server/FSL-dataset/W/Image_1667019789.6164832.jpg,W
/home/code871/Git/fsl-svm/server/FSL-dataset/R/2954_jpg.rf.5a0e68070d0265110e25aceefcbf7319.jpg,R
/home/code871/Git/fsl-svm/server/FSL-dataset/K/1771_jpg.rf.b1b844c713748b2c1b5888b50b03f622.jpg,K
/home/code871/Git/fsl-svm/server/FSL-dataset/J/1583_jpg.rf.3557d976051023df3391b5e098bb9e5d.jpg,J
/home/code871/Git/fsl-svm/server/FSL-dataset/Y/Y_89 (2).jpg,Y
/home/code871/Git/fsl-svm/server/FSL-dataset/L/2119.jpg,L
/home/code871/Git/fsl-svm/server/FSL-dataset/J/J_139 (2).jpg,J
/home/code871/Git/fsl-svm/server/FSL-dataset/G/739_jpg.rf.9b4172f822e632676d925111d6b8d7dd.jpg,G
/home/code871/Git/fsl-svm/server/FSL-dataset/P/1979_jpg.rf.7d58c93dc175de345cca34e7fbaee061.jpg,P
/home/code871/Git/fsl-svm/server/FSL-dataset/Z/Z_204 (2).jpg,Z
/home/code871/Git/fsl-svm/server/FSL-dataset/Y/Y_3 (2).jpg,Y
/home/code871/Git/fsl-svm/server/FSL-dataset/A/2_jpg.rf.0169257aaccc7389857b65316d641eec.jpg,A
/home/code871/Git/fsl-svm/server/FSL-dataset/B/242.jpg,B
/home/code871/Git/fsl-svm/server/FSL-dataset/X/X_148.jpg,X
/home/code871/Git/fsl-svm/server/FSL-dataset/V/4542.jpg,V
/home/code871/Git/fsl-svm/server/FSL-dataset/F/F_126.jpg,F
/home/code871/Git/fsl-svm/server/FSL-dataset/W/4011_jpg.rf.ed74d81c876db5f0d7139a13aaceb36f.jpg,W
/home/code871/Git/fsl-svm/server/FSL-dataset/V/3803_jpg.rf.1188529f7cf4f4079fcd05921f67a7a9.jpg,V
/home/code871/Git/fsl-svm/server/FSL-dataset/A/A_128 (3).jpg,A
/home/code871/Git/fsl-svm/server/FSL-dataset/Q/Q_139.jpg,Q
/home/code871/Git/fsl-svm/server/FSL-dataset/N/Image_1667019366.9705727.jpg,N
/home/code871/Git/fsl-svm/server/FSL-dataset/C/307.jpg,C
/home/code871/Git/fsl-svm/server/FSL-dataset/X/Image_1667019833.550338.jpg,X
/home/code871/Git/fsl-svm/server/FSL-dataset/I/Image_1667019049.0540795.jpg,I
/home/code871/Git/fsl-svm/server/FSL-dataset/L/Image_1667033953.6846313.jpg,L
/home/code871/Git/fsl-svm/server/FSL-dataset/I/Image_1667019051.6216054.jpg,I
/home/code871/Git/fsl-svm/server/FSL-dataset/P/Image_1667019415.7991092 - Copy.jpg,P
/home/code871/Git/fsl-svm/server/FSL-dataset/D/D_221.jpg,D
