vid_path,id_label,label,category
clips\17\6.MOV,17,CORRECT,SURVIVAL
clips\10\0.MOV,10,UNDERSTAND,SURVIVAL
clips\26\9.MOV,26,SEVEN,NUMBER
clips\14\15.MOV,14,NO,SURVIVAL
clips\14\20.MOV,14,NO,SURVIVAL
clips\17\7.MOV,17,CORRECT,SURVIVAL
clips\29\19.MOV,29,TEN,NUMBER
clips\28\10.MOV,28,NINE ,NUMBER
clips\29\9.MOV,29,TEN,NUMBER
clips\14\3.MOV,14,NO,SURVIVAL
clips\16\10.MOV,16,WRONG,SURVIVAL
clips\22\5.MOV,22,THREE,NUMBER
clips\27\4.MOV,27,EIGHT,NUMBER
clips\24\12.MOV,24,FIVE,NUMBER
clips\22\14.MOV,22,THREE,NUMBER
clips\22\16.MOV,22,THREE,NUMBER
clips\27\14.MOV,27,EIGHT,NUMBER
clips\28\18.MOV,28,NINE ,NUMBER
clips\11\4.MOV,11,DON’T UNDERSTAND,SURVIVAL
clips\21\9.MOV,21,TWO,NUMBER
clips\12\17.MOV,12,KNOW,SURVIVAL
clips\21\18.MOV,21,TWO,NUMBER
clips\16\0.MOV,16,WRONG,SURVIVAL
clips\20\3.MOV,20,ONE,NUMBER
clips\15\8.MOV,15,YES,SURVIVAL
clips\24\3.MOV,24,FIVE,NUMBER
clips\24\2.MOV,24,FIVE,NUMBER
clips\16\18.MOV,16,WRONG,SURVIVAL
clips\11\0.MOV,11,DON’T UNDERSTAND,SURVIVAL
clips\21\0.MOV,21,TWO,NUMBER
clips\21\6.MOV,21,TWO,NUMBER
clips\11\19.MOV,11,DON’T UNDERSTAND,SURVIVAL
clips\14\19.MOV,14,NO,SURVIVAL
clips\10\11.MOV,10,UNDERSTAND,SURVIVAL
clips\15\14.MOV,15,YES,SURVIVAL
clips\28\3.MOV,28,NINE ,NUMBER
clips\12\13.MOV,12,KNOW,SURVIVAL
clips\19\15.MOV,19,FAST,SURVIVAL
clips\15\1.MOV,15,YES,SURVIVAL
clips\23\11.MOV,23,FOUR,NUMBER
clips\11\8.MOV,11,DON’T UNDERSTAND,SURVIVAL
clips\16\14.MOV,16,WRONG,SURVIVAL
clips\16\13.MOV,16,WRONG,SURVIVAL
clips\28\0.MOV,28,NINE ,NUMBER
clips\27\12.MOV,27,EIGHT,NUMBER
clips\22\2.MOV,22,THREE,NUMBER
clips\15\11.MOV,15,YES,SURVIVAL
clips\12\9.MOV,12,KNOW,SURVIVAL
clips\15\5.MOV,15,YES,SURVIVAL
clips\19\20.MOV,19,FAST,SURVIVAL
clips\11\18.MOV,11,DON’T UNDERSTAND,SURVIVAL
